Question_No,Category,Question,Hint,Description,Solution
84,"Crisis, Trends, Local & Operations",Meta Business Suite se scheduling best practices?,"Plan week ahead, mix formats, optimal times, preview.",Native tool reliable hai.,Content calendar view. Schedule reels/posts/stories. Preview mobile. First comment schedule. Insights integrated. Boost directly. Team roles.
85,"Crisis, Trends, Local & Operations",Agar Instagram down ho jaye to contingency?,"Other platforms, WhatsApp status, stories backup, communicate.",Platform issues common.,WhatsApp status + broadcast. Facebook active. Google Business post. Temporary communication. Pre-saved content ready. Follow status pages.
86,"Tools, Practical Skills & Deep Scenarios",Customer ne galat cake photo share kiya (competitor ka). Response?,"Polite correct, offer real one, humor soft.",Common mistake.,Friendly: 'Arre yeh to kisi aur ka hai! Hamara real magic yeh hai...' + correct photo. Offer tasting. Positive spin.
87,"Tools, Practical Skills & Deep Scenarios",Order delay ho gaya festival pe. Social pe complain aa rahe. Handle?,"Proactive update, apology, compensation offer, transparency.",Festival pressure high.,"Stories mein proactive: 'Delay ho sakta hai, sorry, extra effort'. Individual complains private resolve + small gift. Public: Empathy + action. Post-festival thank you + learnings."
88,"Tools, Practical Skills & Deep Scenarios",Naya competitor aggressive ads chala raha hai. Reaction?,"Focus own strengths, differentiate, monitor, don't copy panic.",Competition healthy rakho.,"Apna USP push (pure veg, quality, local). Content quality badhao. Offers smart. Monitor unke creatives (Ad Library). Long-term brand build. Panic discount mat karo."
89,"Tools, Practical Skills & Deep Scenarios",Team member ne galat post schedule kar diya. Damage control?,"Delete/archive fast, correct post, internal process fix.",Human error hota hai.,"Turant remove. Correct version. Agar sensitive to short apology. Process: Approval workflow, checklist, double check. Learning share without blame."
90,"Tools, Practical Skills & Deep Scenarios",High performing reel ko series mein kaise convert karoge?,"Same format, different topics, consistent branding, CTA series.",Winning formula scale karo.,"Identify elements (hook, length, audio, style). Plan 5-7 similar. Number them. Playlist/highlight. Cross promote. Track series performance."
91,"Tools, Practical Skills & Deep Scenarios",WhatsApp se social pe traffic kaise laoge?,"Status updates, broadcast with social CTAs, catalog links.",Two-way integration.,Status pe IG link. Broadcast: 'Naya reel dekho'. Catalog se social proof. QR codes packaging pe social. Encourage status shares.
92,"Tools, Practical Skills & Deep Scenarios",Packaging pe social media elements kya add karoge?,"QR to IG, hashtag, review request, photo prompt.",Every touchpoint marketing.,Sticker: 'Tag us @sweetcounty.official'. QR code profile. Small card: 'Photo bhejo free feature chance'. Review request Google/IG.
93,"Tools, Practical Skills & Deep Scenarios",Live session topics ideas cake shop ke liye?,"Cake decorating demo, Q&A flavours, festival prep, customer stories.",Lives high engagement + trust.,"Monthly: Decorating live, 'Ask chef anything', New flavour tasting, Behind festival rush. Promote 2 days before. Replay save. CTA during live."
94,"Tools, Practical Skills & Deep Scenarios",Email/SMS ko social se kaise integrate (agar available)?,"Cross promote, exclusive social offers, retarget.",Omnichannel better.,Social pe email signup. Email mein social links + exclusive. SMS offers with social proof. Consistent messaging.
95,"Tools, Practical Skills & Deep Scenarios",Annual content themes/calendar ka overview?,"Festivals, seasons, evergreens, product launches, local events.",Big picture planning.,"Q1: New year, Makar Sankranti, Valentine. Q2: Summer specials, Eid. Q3: Monsoon, Rakhi, Janmashtami, Ganesh. Q4: Navratri, Diwali, Christmas. Plus monthly evergreens + launches."
96,"Tools, Practical Skills & Deep Scenarios",Personal brand vs company brand balance social manager ke liye?,"Company primary, personal secondary for credibility.",Role clear rakho.,Main accounts company. Personal pe industry insights share (without confidential). Networking. Company success ko personal pe bhi celebrate carefully.
97,"Tools, Practical Skills & Deep Scenarios",Interview mein apna past work kaise present karoge portfolio ke through?,"Case studies: Goal, action, result, learnings. Screenshots + metrics.",Proof > claims.,3-4 case studies. Before-after metrics. Process explain. Challenges faced. Tools used. Relevant to cake/local business. PDF ya Notion portfolio.
98,"Tools, Practical Skills & Deep Scenarios",Agar selected ho to first 30 days ka plan kya hoga?,"Audit, listen, quick wins, strategy draft, relationships.",First impression important.,"Week 1: Full audit (accounts, analytics, competitors, processes). Week 2: Stakeholder meetings, customer listen. Week 3: Quick wins (bio, highlights, 1 campaign). Week 4: 90-day strategy present + calendar."
99,"Tools, Practical Skills & Deep Scenarios",Salary expectation discuss karte waqt social media impact kaise justify?,"Past ROI, responsibilities scope, market rate, value add.",Value dikhana.,Past campaigns results. Scope: Content + community + ads + reporting. Local market research. Tie to business goals (orders growth). Flexible with performance bonus.
100,"Tools, Practical Skills & Deep Scenarios",Continuous learning kaise continue karoge is fast-changing field mein?,"Follow experts, courses, experiment, communities, newsletters.",Stagnation death hai is field mein.,"Follow: Meta news, creators, Indian marketers. Free courses (Meta Blueprint). Weekly experiment. Communities (Reddit, LinkedIn, local). Newsletters. Apply immediately."
101,"Tools, Practical Skills & Deep Scenarios",Rainy day Thane mein delivery slow. Social pe message kya doge?,Empathy + updated timelines + indoor comfort content.,Weather local reality hai.,"Stories: 'Barish mein thoda time lagega, safe delivery prioritise. Ghar baith ke cake enjoy karo!' Comfort content: Hot chocolate pairings, indoor celebration ideas. Proactive communication trust badhata hai."
102,"Tools, Practical Skills & Deep Scenarios",Customer ne anniversary cake pe galat name likhwa diya. Wo angry post kare. Response?,"Full ownership, immediate fix offer, compensation, process improve.",Emotional high-stakes.,"Public: Sincere apology + 'Please DM, hum turant sahi karenge'. Private: Free replacement + extra. Internal: Double-check process (photo confirmation). Follow up after."
103,"Tools, Practical Skills & Deep Scenarios",Viral meme template aaya cake related. Use karna chahiye?,Brand fit + speed + originality check.,Memes risky but high reward.,Agar positive + brand safe to quick original version. Logo subtle. Caption on-brand. Agar borderline to skip. Timing critical.
104,"Tools, Practical Skills & Deep Scenarios",Staff shortage ki wajah se content shoot delay. Plan B?,"Repurpose old, UGC push, simple phone content, stories heavy.",Operations affect marketing.,Old high performers remix. Heavy UGC request. Simple talking-head or static with strong caption. Stories daily. Communicate internally realistic schedule.
105,"Tools, Practical Skills & Deep Scenarios",Competitor ne same offer copy kar liya. Next move?,"Differentiate value, add exclusivity, focus quality story.",Price war avoid.,"Apna offer better banao (add-on free). Storytelling pe focus (quality, pure veg, local). Limited unique variants. Long-term brand > short price match."
106,Advanced Practical Scenarios,Algorithm change se reels reach gir gaya industry wide. Adaptation?,"Diversify formats, focus saves/shares, community, other platforms.",Changes constant hain.,Carousels + static test. Longer value content. Community engagement badhao. WhatsApp + GMB push. Stay updated official blogs. Diversify risk.
107,Advanced Practical Scenarios,Local food festival mein stall hai. Social coverage plan?,"Pre, during, post content + live + offers.",Events amplification.,"Pre: Teaser + location. During: Live, stories, reels, customer interviews. Post: Recap + thank you + next. Special hashtag. Geo tag. Offer for attendees."
108,Advanced Practical Scenarios,Customer data (birthdays) use karke personalized wishes social pe?,"Permission based, private first, public optional.",Personalization powerful but privacy sensitive.,WhatsApp/email pe wish. Public tabhi jab consent + photo. General 'birthday month special' campaigns safer. Build database ethically.
109,Advanced Practical Scenarios,High ticket custom cake (₹5000+) promote kaise organic + paid?,"Storytelling, process videos, testimonials, targeted ads.",Premium products different approach.,Process reels (design to delivery). Past customer stories. Portfolio highlight. Targeted ads (higher income interests + lookalike buyers). Consultative CTAs (DM for custom).
110,Advanced Practical Scenarios,End of month reporting meeting mein kya slides/structure?,"Summary, wins, metrics, learnings, next plan, asks.",Clear communication stakeholders ke saath.,1. Executive summary. 2. Key wins (with screenshots). 3. Metrics dashboard. 4. What worked/didn't. 5. Learnings. 6. Next 30 days plan. 7. Support needed. Visual + concise.
111,Advanced Practical Scenarios,Agar aapko lagta hai current strategy kaam nahi kar rahi to kaise pivot propose karoge?,"Data evidence, alternative plan, test proposal, risk mitigation.",Proactive ownership.,Data dikhao underperformance. Root cause hypothesis. New strategy outline. Small test propose (2 weeks). Success metrics. Rollback plan. Collaborative discussion.
112,Advanced Practical Scenarios,"Multi-language comments (Hindi, Marathi, English) kaise handle?","Reply in same language if possible, or Hinglish neutral.",Inclusive feel.,Try same language. Agar nahi aata to polite Hinglish. Team mein language diversity use. Translation tools carefully. Appreciation dikhao local languages ki.
113,Advanced Practical Scenarios,Content idea dry ho jaye to inspiration sources?,"Customers, competitors, trends, team, other industries, past wins.",Creative recharge.,"Customer DMs/reviews padho. Competitor + adjacent brands. Trend reports. Team brainstorm. Other niches (fashion, travel) adapt. Old successful posts revisit. Walk in store for ideas."
114,Advanced Practical Scenarios,Last question: Is role mein 1 saal baad success kaisa dikhega aapke liye?,Business impact + community + process + personal growth.,Vision align check.,"Social se consistent order growth. Strong engaged community. Documented processes + calendar running smooth. Team trained. Personal: Better strategist, local market expert, measurable portfolio. Brand ko Thane-Bhiwandi mein top-of-mind cake destination banaya ho."
